REQID;REQType;REQTitle;child_count;TC_count;Coverage;Completion
01.01.01;UserStory;As a developer, I want to create core timeframe mapping functionality so that Nautilus BarTypes can be correctly mapped to OKX timeframes and vice-versa.;0;7;100.0%;100.0%
01.01.01;UserStory;As a developer, I want to create core timeframe mapping functionality so that Nautilus BarTypes can be correctly mapped to OKX timeframes and vice-versa.;0;7;100.0%;100.0%
01.01.01;UserStory;As a developer, I want to create core timeframe mapping functionality so that Nautilus BarTypes can be correctly mapped to OKX timeframes and vice-versa.;0;7;100.0%;100.0%
01.01.01;UserStory;As a developer, I want to create core timeframe mapping functionality so that Nautilus BarTypes can be correctly mapped to OKX timeframes and vice-versa.;0;7;100.0%;100.0%
01.01.01;UserStory;As a developer, I want to create core timeframe mapping functionality so that Nautilus BarTypes can be correctly mapped to OKX timeframes and vice-versa.;0;7;100.0%;100.0%
01.01.01;UserStory;As a developer, I want to create core timeframe mapping functionality so that Nautilus BarTypes can be correctly mapped to OKX timeframes and vice-versa.;0;7;100.0%;100.0%
01.01.01;UserStory;As a developer, I want to create core timeframe mapping functionality so that Nautilus BarTypes can be correctly mapped to OKX timeframes and vice-versa.;0;7;100.0%;100.0%
01.01.02;UserStory;As a system, I want to cache timeframe mappings so that computation is reduced for repeated requests by >90%.;0;3;100.0%;100.0%
01.01.02;UserStory;As a system, I want to cache timeframe mappings so that computation is reduced for repeated requests by >90%.;0;3;100.0%;100.0%
01.01.02;UserStory;As a system, I want to cache timeframe mappings so that computation is reduced for repeated requests by >90%.;0;3;100.0%;100.0%
01.02.01;UserStory;As a system, I want to implement API rate limiting with exponential backoff so that OKX API throttling is prevented and requests eventually succeed.;0;11;100.0%;100.0%
01.02.01;UserStory;As a system, I want to implement API rate limiting with exponential backoff so that OKX API throttling is prevented and requests eventually succeed.;0;11;100.0%;100.0%
01.02.01;UserStory;As a system, I want to implement API rate limiting with exponential backoff so that OKX API throttling is prevented and requests eventually succeed.;0;11;100.0%;100.0%
01.02.01;UserStory;As a system, I want to implement API rate limiting with exponential backoff so that OKX API throttling is prevented and requests eventually succeed.;0;11;100.0%;100.0%
01.02.01;UserStory;As a system, I want to implement API rate limiting with exponential backoff so that OKX API throttling is prevented and requests eventually succeed.;0;11;100.0%;100.0%
01.02.01;UserStory;As a system, I want to implement API rate limiting with exponential backoff so that OKX API throttling is prevented and requests eventually succeed.;0;11;100.0%;100.0%
01.02.01;UserStory;As a system, I want to implement API rate limiting with exponential backoff so that OKX API throttling is prevented and requests eventually succeed.;0;11;100.0%;100.0%
